ticker,company_name,status,form,filing_date,accession_number,primary_industry,financial_fact_count,material_signal_count,valid_signal_evidence_rate,error
NVDA,NVIDIA Corporation,complete,10-K,2026-02-25,0001045810-26-000021,semiconductors,10,8,1.0,
AMD,Advanced Micro Devices Inc.,complete,10-K,2026-02-04,0000002488-26-000018,semiconductors,9,8,1.0,
INTC,Intel Corporation,complete,10-K,2026-01-23,0000050863-26-000011,semiconductors,9,8,0.625,
AVGO,Broadcom Inc.,complete,10-K,2025-12-18,0001730168-25-000121,semiconductors,10,7,0.7143,
MRVL,Marvell Technology Inc.,complete,10-K,2026-03-11,0001835632-26-000011,semiconductors,10,8,0.75,
MU,Micron Technology Inc.,complete,10-K,2025-10-03,0000723125-25-000028,semiconductors,10,8,0.875,
TSM,Taiwan Semiconductor Manufacturing Company Limited,complete,20-F,2026-04-16,0001628280-26-025362,semiconductors,9,8,0.375,
ASML,ASML Holding N.V.,complete,20-F,2026-02-25,0001628280-26-011378,semiconductors,11,8,0.625,
AMAT,Applied Materials Inc.,complete,10-K,2025-12-12,0001628280-25-056742,semiconductors,10,8,0.625,
LRCX,Lam Research Corporation,complete,10-K,2025-08-11,0000707549-25-000075,semiconductors,10,8,1.0,
KLAC,KLA Corporation,complete,10-K,2025-08-08,0000319201-25-000024,semiconductors,9,6,1.0,
ARM,Arm Holdings plc,complete,20-F,2026-05-26,0001973239-26-000097,semiconductors,10,8,0.5,
QCOM,QUALCOMM Incorporated,complete,10-K,2025-11-05,0000804328-25-000085,semiconductors,10,8,0.875,
ANET,Arista Networks Inc.,complete,10-K,2026-02-17,0001596532-26-000013,technology_hardware,10,8,1.0,
CSCO,Cisco Systems Inc.,complete,10-K,2025-09-03,0000858877-25-000111,telecommunications_and_networks,10,8,1.0,
COHR,Coherent Corp.,complete,10-K,2025-08-15,0000820318-25-000014,semiconductors,9,8,0.75,
DELL,Dell Technologies Inc.,complete,10-K,2026-03-16,0001571996-26-000008,technology_hardware,10,8,0.75,
HPE,Hewlett Packard Enterprise Company,complete,10-K,2025-12-18,0001645590-25-000130,technology_hardware,9,8,0.75,
SMCI,Super Micro Computer Inc.,complete,10-K,2025-08-28,0001375365-25-000027,technology_hardware,10,8,0.875,
VRT,Vertiv Holdings Co.,complete,10-K,2026-02-13,0001674101-26-000008,technology_hardware,10,6,0.8333,
ETN,Eaton Corporation plc,complete,10-K,2026-02-26,0001551182-26-000007,industrials_and_infrastructure,8,8,0.875,
GEV,GE Vernova Inc.,complete,10-K,2026-01-29,0001996810-26-000015,energy_and_utilities,10,8,0.5,
CEG,Constellation Energy Corporation,complete,10-K,2026-02-24,0001868275-26-000032,energy_and_utilities,9,8,0.625,
VST,Vistra Corp.,complete,10-K,2026-02-27,0001692819-26-000006,energy_and_utilities,9,8,1.0,
NEE,NextEra Energy Inc.,complete,10-K,2026-02-13,0000753308-26-000015,energy_and_utilities,8,8,1.0,
EQIX,Equinix Inc.,complete,10-K,2026-02-11,0001101239-26-000032,cloud_and_data_centers,9,8,0.875,
DLR,Digital Realty Trust Inc.,complete,10-K,2026-02-13,0001104659-26-015365,cloud_and_data_centers,8,8,0.875,
AMZN,Amazon.com Inc.,complete,10-K,2026-02-06,0001018724-26-000004,diversified_or_other,8,8,0.75,
MSFT,Microsoft Corporation,complete,10-K,2025-07-30,0000950170-25-100235,software_and_data,10,8,1.0,
GOOGL,Alphabet Inc.,complete,10-K,2026-02-05,0001652044-26-000018,software_and_data,10,4,1.0,
META,Meta Platforms Inc.,complete,10-K,2026-01-29,0001628280-26-003942,software_and_data,10,8,0.625,
ORCL,Oracle Corporation,complete,10-K,2026-06-22,0001193125-26-277521,software_and_data,9,8,1.0,
IBM,International Business Machines Corporation,complete,10-K,2026-02-24,0000051143-26-000010,software_and_data,0,6,0.6667,
CRM,Salesforce Inc.,complete,10-K,2026-03-02,0001108524-26-000060,software_and_data,10,8,0.875,
SNOW,Snowflake Inc.,complete,10-K,2026-03-20,0001640147-26-000008,software_and_data,10,8,0.875,
NET,Cloudflare Inc.,complete,10-K,2026-02-26,0001477333-26-000016,software_and_data,10,8,0.875,
DDOG,Datadog Inc.,complete,10-K,2026-02-18,0001628280-26-008819,software_and_data,10,8,0.75,
PLTR,Palantir Technologies Inc.,complete,10-K,2026-02-17,0001321655-26-000011,software_and_data,10,6,1.0,
NOW,ServiceNow Inc.,complete,10-K,2026-01-29,0001373715-26-000007,software_and_data,10,8,0.375,
MDB,MongoDB Inc.,complete,10-K,2026-03-11,0001628280-26-016799,software_and_data,10,8,1.0,
ALAB,Astera Labs Inc.,complete,10-K,2026-02-20,0001736297-26-000010,semiconductors,10,6,0.8333,
CRDO,Credo Technology Group Holding Ltd,complete,10-K,2026-06-15,0001628280-26-043303,semiconductors,10,8,1.0,
CIEN,Ciena Corporation,complete,10-K,2025-12-12,0001628280-25-056698,telecommunications_and_networks,10,8,0.75,
APH,Amphenol Corporation,complete,10-K,2026-02-11,0001104659-26-013549,technology_hardware,10,8,1.0,
TEL,TE Connectivity plc,complete,10-K,2025-11-10,0001104659-25-109150,industrials_and_infrastructure,10,8,0.875,
GLW,Corning Inc.,complete,10-K,2026-02-12,0000024741-26-000124,materials_and_mining,9,8,1.0,
KEYS,Keysight Technologies Inc.,complete,10-K,2025-12-17,0001601046-25-000127,technology_hardware,10,8,0.875,
TER,Teradyne Inc.,complete,10-K,2026-02-19,0001193125-26-059002,technology_hardware,9,8,0.25,
ON,ON Semiconductor Corporation,complete,10-K,2026-02-09,0001097864-26-000006,semiconductors,9,8,0.875,
MPWR,Monolithic Power Systems Inc.,complete,10-K,2026-02-27,0001437749-26-006113,semiconductors,9,8,0.25,
ADI,Analog Devices Inc.,complete,10-K,2025-11-25,0000006281-25-000153,semiconductors,9,8,0.5,
TXN,Texas Instruments Inc.,complete,10-K,2026-02-06,0000097476-26-000059,semiconductors,10,8,0.375,
NXPI,NXP Semiconductors N.V.,complete,10-K,2026-02-19,0001413447-26-000008,semiconductors,9,8,0.875,
MCHP,Microchip Technology Inc.,complete,10-K,2026-05-21,0000827054-26-000016,semiconductors,9,8,1.0,
CLS,Celestica Inc.,complete,10-K,2026-02-27,0001030894-26-000011,technology_hardware,10,7,0.8571,
FLEX,Flex Ltd.,complete,10-K,2026-05-20,0000866374-26-000012,technology_hardware,9,8,1.0,
JBL,Jabil Inc.,complete,10-K,2025-10-17,0001628280-25-045293,technology_hardware,10,8,1.0,
SANM,Sanmina Corp.,complete,10-K,2025-11-13,0000897723-25-000042,technology_hardware,9,8,0.875,
FN,Fabrinet,complete,10-K,2025-08-19,0001408710-25-000039,technology_hardware,9,8,0.875,
AAOI,Applied Optoelectronics Inc.,complete,10-K,2026-02-26,0001437749-26-005875,telecommunications_and_networks,10,8,0.875,
LITE,Lumentum Holdings Inc.,complete,10-K,2025-08-19,0001628280-25-040830,semiconductors,10,8,0.625,
NTAP,NetApp Inc.,complete,10-K,2026-06-05,0001193125-26-259683,technology_hardware,10,8,0.625,
STX,Seagate Technology Holdings plc,complete,10-K,2025-08-01,0001137789-25-000157,technology_hardware,10,8,0.75,
WDC,Western Digital Corporation,complete,10-K,2025-08-14,0000106040-25-000038,technology_hardware,9,8,0.875,
PWR,Quanta Services Inc.,complete,10-K,2026-02-19,0001050915-26-000006,energy_and_utilities,9,8,0.875,
EME,EMCOR Group Inc.,complete,10-K,2026-02-26,0000105634-26-000025,industrials_and_infrastructure,9,8,0.625,
FIX,Comfort Systems USA Inc.,complete,10-K,2026-02-19,0001104659-26-017530,industrials_and_infrastructure,9,8,0.75,
TT,Trane Technologies plc,complete,10-K,2026-02-05,0001628280-26-005731,industrials_and_infrastructure,10,8,1.0,
CARR,Carrier Global Corporation,complete,10-K,2026-02-05,0001783180-26-000008,industrials_and_infrastructure,10,8,0.875,
JCI,Johnson Controls International plc,complete,10-K,2025-11-14,0000833444-25-000097,industrials_and_infrastructure,8,8,0.75,
DUK,Duke Energy Corporation,complete,10-K,2026-02-26,0001326160-26-000014,energy_and_utilities,8,8,1.0,
SO,Southern Company,complete,10-K,2026-02-19,0000092122-26-000006,energy_and_utilities,9,8,0.375,
AEP,American Electric Power Company Inc.,complete,10-K,2026-02-12,0000004904-26-000013,energy_and_utilities,9,6,0.8333,
PPL,PPL Corporation,complete,10-K,2026-02-20,0000922224-26-000008,energy_and_utilities,8,8,0.5,
